2026-02-11T14:16:39Z	P1_PLATFORM_ADMIN	entry_platforms_new	200	200	PASS	console reachable
2026-02-11T14:16:43Z	P2_SECURITY_OPS	create_credential	200,201,202,204	501	FAIL	{"code":"NOT_IMPLEMENTED","message":"credentials create is not implemented in MVP skeleton","request_id":"2c481df50cbb/J6gFz4UXCv-000005"}
2026-02-11T14:16:43Z	P2_SECURITY_OPS	rotate_credential	200,201,202,204	501	FAIL	
2026-02-11T14:16:47Z	P2_SECURITY_OPS	create_assistant	200,201,202,204	501	FAIL	
2026-02-11T14:16:47Z	P2_SECURITY_OPS	bind_assistant	200,201,202,204	501	FAIL	
2026-02-11T14:16:43Z	P3_COMPLIANCE_AUDITOR	list_audit_events	200,201,202,204	501	FAIL	
2026-02-11T14:16:43Z	P3_COMPLIANCE_AUDITOR	create_audit_export	200,201,202,204	501	FAIL	
2026-02-11T14:16:43Z	P3_COMPLIANCE_AUDITOR	get_audit_export	200,201,202,204	501	FAIL	
